date,open,close,high,low,volume
2007-03-01,22.315,20.883,22.748,20.441,1977633.51
2007-03-02,20.977,20.713,21.173,20.477,425048.32
2007-03-05,20.521,19.807,20.606,19.428,419196.74
2007-03-06,19.638,20.195,20.53,19.526,297727.88
2007-03-07,20.213,20.744,20.932,20.044,287463.78
2007-03-08,20.575,20.495,20.677,20.387,130983.83
2007-03-09,20.486,20.32,20.575,19.95,160887.79
2007-03-12,20.218,19.954,20.218,19.861,145353.06
2007-03-13,19.999,20.035,20.2,19.914,102319.68
2007-03-14,19.771,20.057,20.129,19.544,173306.56
2007-03-15,20.316,20.066,20.749,19.995,152521.9
2007-03-16,20.079,20.178,20.508,19.816,227547.24
2007-03-20,20.887,20.432,20.941,20.307,222026.87
2007-03-21,20.441,20.129,20.53,20.039,136728.32
2007-03-22,20.285,20.245,20.495,20.187,167509.84
2007-03-23,20.236,20.155,20.32,19.954,139810.14
2007-03-26,20.173,20.503,20.619,20.164,223266.79
2007-03-27,20.436,20.49,20.691,20.365,139338.19
2007-03-28,20.486,20.789,20.932,20.343,258263.69
2007-03-29,20.892,21.155,21.775,20.744,461986.18
2007-03-30,20.959,20.999,21.365,20.852,144617.2
2007-04-02,20.999,21.597,21.735,20.999,231445.03
2007-04-03,21.61,21.517,21.762,21.378,132712.04
2007-04-04,21.521,21.329,21.646,21.222,122454.69
2007-04-05,21.334,21.387,21.423,21.066,122865.38
2007-04-06,21.28,21.427,21.847,21.2,195208.52
2007-04-09,21.463,23.034,23.159,21.289,462770.21
2007-04-10,22.762,23.574,23.958,22.762,407823.9
2007-04-11,23.601,23.895,24.627,23.476,243446.5
2007-04-12,24.092,23.851,25.886,23.632,159270.43
2007-04-13,24.145,24.56,25.19,24.101,266689.45
2007-04-16,24.842,25.181,25.239,24.842,146972.27
2007-04-17,25.194,24.614,25.449,23.922,197243.88
2007-04-18,24.538,24.061,24.587,23.833,130322.35
2007-04-19,23.878,23.199,24.235,22.409,205586.7
2007-04-20,23.503,24.699,25.172,23.373,185690.28
2007-04-23,24.712,25.431,25.694,24.493,146934.59
2007-04-24,25.881,24.913,25.89,24.882,160472.87
2007-04-25,24.601,25.31,25.752,24.507,145938.47
2007-04-26,25.252,26.114,26.189,25.252,184961.32
2007-04-27,26.131,28.385,28.724,26.02,389838.64
2007-04-30,28.207,29.389,30.273,27.841,204190.44
2007-05-08,30.26,29.331,30.34,29.01,132325.58
2007-05-09,28.787,29.331,29.813,28.117,111812.7
2007-05-10,29.349,28.778,29.456,28.698,85844.59
2007-05-11,28.341,28.033,28.519,27.292,160592.98
2007-05-14,27.582,28.568,29.764,26.779,171743.88
2007-05-15,28.742,27.461,28.782,27.426,111533.98
2007-05-16,27.448,27.818,28.109,27.091,98841.5
2007-05-17,27.818,28.05,28.466,27.671,84327.98
2007-05-18,27.89,27.76,28.046,27.229,111772.95
2007-05-21,27.185,28.323,28.827,27.136,168888.72
