date,open,close,high,low,volume
2009-12-16,16.364,16.477,18.069,16.364,206643.49
2009-12-17,15.75,14.973,15.819,14.83,85771.38
2009-12-18,14.66,14.864,14.932,14.08,57189.13
2009-12-21,14.67,14.85,15.164,14.578,37240.73
2009-12-22,14.762,13.637,14.827,13.62,46726.71
2009-12-23,13.654,13.835,13.978,13.456,31614.11
2009-12-24,13.719,14.029,14.152,13.299,49706.27
2009-12-25,13.875,13.869,14.073,13.739,30314.08
2009-12-28,13.91,15.256,15.256,13.869,64064.46
2009-12-29,15.679,16.108,16.589,15.375,95811.59
2009-12-30,16.091,16.402,16.633,15.866,59299.15
2009-12-31,16.357,17.448,18.035,16.187,71578.67
2010-01-04,17.489,18.093,18.41,17.489,64716.73
2010-01-05,18.41,17.898,18.604,17.489,56046.93
2010-01-06,18.001,18.004,18.57,17.803,44417.32
2010-01-07,17.881,19.262,19.804,17.881,87467.83
2010-01-08,19.091,19.743,19.903,18.938,47022.91
2010-01-11,19.296,20.312,20.499,18.955,42441.45
2010-01-12,20.101,19.807,20.455,19.466,34491.59
2010-01-13,19.279,18.955,19.876,18.938,47184.39
2010-01-14,18.863,19.023,19.357,18.863,34082.67
2010-01-15,19.003,19.057,19.194,18.301,35702.62
2010-01-18,18.938,19.671,19.739,18.887,39377.72
2010-01-19,19.688,18.928,19.692,18.682,29571.88
2010-01-20,18.751,17.738,18.955,17.626,29124.94
2010-01-21,18.028,18.171,18.369,17.557,20900.61
2010-01-22,17.837,17.353,18.035,16.746,27733.9
2010-01-25,17.046,16.944,17.452,16.882,11458.75
2010-01-26,16.991,17.179,17.377,16.957,12647.53
2010-01-27,17.182,18.001,18.151,17.182,21199.18
2010-01-28,17.704,18.069,18.069,17.455,15907.9
2010-01-29,17.929,17.881,18.41,17.612,20379.7
2010-02-01,17.857,17.049,17.857,16.903,22028.59
2010-02-02,17.039,16.262,17.312,16.228,19789.54
2010-02-04,16.712,17.888,17.888,16.705,39949.97
2010-02-05,17.564,16.712,18.56,16.473,42400.49
2010-02-08,16.364,16.61,17.199,16.197,16462.64
2010-02-09,16.269,15.989,16.466,15.894,12737.8
2010-02-10,16.187,16.357,16.531,16.023,6401.33
2010-02-11,16.364,16.746,16.896,16.197,10085.13
2010-02-12,16.79,17.438,17.66,16.79,11969.1
2010-02-22,17.339,17.131,17.404,16.835,8162.82
2010-02-23,17.111,16.869,17.227,16.722,6835.86
2010-02-24,16.869,17.124,17.418,16.668,9592.6
2010-02-25,17.343,17.718,17.83,17.148,14529.03
2010-02-26,17.728,18.001,18.505,17.724,22884.85
2010-03-01,18.062,18.062,18.168,17.626,18835.17
2010-03-02,18.062,18.13,18.297,17.84,10473.01
2010-03-03,18.236,18.341,18.805,17.936,15088.16
2010-03-04,18.682,17.663,18.682,17.619,11941.8
2010-03-05,17.663,17.233,17.885,17.169,12197.12
2010-03-08,17.114,17.319,17.387,17.022,14219.71
2010-03-09,17.319,17.148,17.523,17.046,6108.88
2010-03-10,17.247,17.203,17.585,17.046,8678.74
2010-03-11,17.046,16.654,17.285,16.432,12986.15
2010-03-12,16.657,16.565,16.978,16.364,8826.03
2010-03-15,16.702,16.76,17.148,16.698,16730.59
2010-03-16,16.535,16.535,16.705,16.166,39725.77
2010-03-17,16.541,17.053,17.121,16.364,29055.8
2010-03-18,17.097,17.557,17.721,16.985,31304.84
2010-03-19,17.472,19.245,19.313,17.472,53436.08
2010-03-22,19.637,20.012,20.724,19.545,40589.34
2010-03-23,19.995,20.046,20.414,19.705,22618.94
2010-03-24,20.015,20.66,21.307,19.913,31233.02
2010-03-25,20.643,20.793,20.997,20.199,19739.93
2010-03-26,20.551,19.831,20.615,19.777,23430.93
2010-03-29,19.773,19.705,20.097,19.323,23626.81
2010-03-30,19.705,20.745,20.796,19.603,31158.12
2010-03-31,20.762,21.601,22.119,20.568,24510.36
2010-04-01,21.485,21.427,22.194,21.318,21729.76
2010-04-02,21.468,21.41,21.468,20.898,16442.85
2010-04-06,21.222,21.942,22.456,21.222,17761.36
2010-04-07,21.945,22.034,22.194,21.42,14337.18
2010-04-08,21.982,21.88,22.276,21.706,11450.08
